title,category,description
"Get promoted to Senior",CAREER,"Achieve senior level by end of quarter"
"Complete AWS certification",CAREER,
"Lead a major project",CAREER,"Take ownership of Q1 initiative"
"Mentor a junior colleague",CAREER,
"Give a presentation at team meeting",CAREER,
"Negotiate a raise",CAREER,
"Run a 5K",HEALTH,
"Establish morning routine",HEALTH,"Wake up at 6am consistently"
"Meditate 30 days straight",HEALTH,
"Complete a fitness challenge",HEALTH,
"Cook healthy meals for a month",HEALTH,
"Get annual health checkup",HEALTH,
"Write 10 blog posts",CREATIVE,
"Learn a new programming language",CREATIVE,
"Complete an online course",CREATIVE,
"Build a side project",CREATIVE,
"Read 5 books",CREATIVE,
"Try a new creative hobby",CREATIVE,
"Plan monthly date nights",RELATIONSHIPS,
"Call parents weekly",RELATIONSHIPS,
"Organize a friend reunion",RELATIONSHIPS,
"Write thank you notes to 5 people",RELATIONSHIPS,
"Join a community group",RELATIONSHIPS,
"Be present during family dinners",RELATIONSHIPS,
